run_id,seed,best_cost,published_best_cost,distance_from_published_best_pct
2.0,10002.0,6096492.8,6081000.0,0.2547738858740267
1.0,10001.0,6224402.62,6081000.0,2.358207860549255
3.0,10003.0,6141860.4399999995,6081000.0,1.0008294688373498
4.0,10004.0,6081067.619999999,6081000.0,0.001111988159818722
5.0,10005.0,6223680.42,6081000.0,2.34633152442032
6.0,10006.0,6190903.779999999,6081000.0,1.8073307021871265
7.0,10007.0,6081067.619999999,6081000.0,0.001111988159818722
8.0,10008.0,6223680.42,6081000.0,2.34633152442032
9.0,10009.0,6300233.499999999,6081000.0,3.6052211807268364
10.0,10010.0,6246898.54,6081000.0,2.728145699720441
11.0,10011.0,6081067.619999999,6081000.0,0.001111988159818722
13.0,10013.0,6244491.84,6081000.0,2.6885683275776895
12.0,10012.0,6105496.52,6081000.0,0.40283703338266363
14.0,10014.0,6259495.739999999,6081000.0,2.9353024173655484
15.0,10015.0,6244544.02,6081000.0,2.6894264101299026
16.0,10016.0,6105564.819999999,6081000.0,0.40396020391382237
